Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2019,"4         ",Male,15,Right-Handed,176,25,163,3,"Rail (Train/Tram/Subway)",40,.471,39,Soccer,695,1000,455,588,1000,1000,25,"Same length",.9,.9,"Same length",March,Spring,No,No,Fruit,"Soft drink (non-caffeinated)",History,7,9,4,"Yes - broadband connection","Internet chat or instant messaging",5,12,18,3,12,4,12,40,38,1,8,1,0,0,Some,"Graduate degree","Heavy metal",Telepathy,Rich,Politician,Health
USA,NY,2021,"11        ",Female,15,Right-Handed,155,24,157,2,"Rail (Train/Tram/Subway)",25,.398,46,Running/Jogging,882,882,877,882,396,800,24,"Same length",75,65,"Index finger",December,Fall,No,No,"No favorite",Water,Science,5,9,6,"Yes - broadband connection","Text messaging",85,113,5,1,15,5,6,2,35,10,56,1,0,2,Some,"Undergraduate degree","Rhythm and blues (R&B)","Freeze time",Rich,"Doctor or nurse","International aid"
USA,NY,2014,"6         ",Female,11,Right-Handed,152,28,138,1,Bus,10,1.044,,Gymnastics,750,850,699,800,800,800,30,"Left foot",60.5,60.5,"Same length",November,Summer,Yes,No,Meat,Water,Other,8,10,4,"Yes - other","In person",15,20,10,5,2,6,6,4,7,7,5,5,0,2,Some,"Graduate degree",Pop,Telepathy,Happy,"Musician or singer","Wildlife, animals"
USA,NY,2022,"12        ",Male,17,Ambidextrous,180,27,180,3,"Rail (Train/Tram/Subway)",70,0.161,41,"Football (American)",127,50,370,165,700,800,27,"Same length",97,104,"Ring finger",July,Winter,Yes,No,Meat,"Soft drink (caffeinated)","Computers and technology",4,3,4,,,3,24,2,0,0,0,12,2,10,1,2,0,40,1,None,"Graduate degree","Punk rock","Freeze time",Rich,"Business person",Religious
USA,NY,2019,"5         ",Male,10,Right-Handed,143,25,135,"  1",Bus,5,1.357,74,"Hockey (Ice)",0,12,14,1000,1000,10002,25??,"Right foot",60,70,"Ring finger",February,Winter,No,No,Pizza/Pasta,Milk,Science,12,9,6,"Yes - broadband connection","Internet chat or instant messaging",12,1,44,1,3,0,12,12,21,21,3,12,11,9,"A lot","Less than high school","Heavy metal",Invisibility,Famous,"Business person",Environment
USA,NY,2022,"12        ",Female,17,Right-Handed,155,22.3,155,1,Car,45,.721,34,Walking/Hiking,90,75,80,80,95,95,22.6,"Left foot",84,79,"Index finger",December,Spring,Yes,No,"Rice/Noodle dishes",Water,Art,7,11,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,50,10,1,5,1,0,20,5,5,30,5,0,2,Some,"Graduate degree","Rhythm and blues (R&B)","Freeze time",Happy,Relative,"Education/Youth development"
USA,NY,2019,"12        ",Male,17,Right-Handed,186,31,199,1,Car,2,.388,45,Basketball,900,900,800,850,100,500,30,"Right foot",116,119,"Ring finger",December,Summer,No,No,Meat,Water,"Physical education",7,9,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,30,0,7,5,12,14,18,30,30,2,12,2,Some,"Undergraduate degree","Rock and roll","Super strength",Happy,"Business person",Health
USA,NY,2019,"5         ",Male,10,Right-Handed,143,23,141,1,Bus,35,0.869,55,"Martial Arts",1000,999,500,990,50,99,22,"Right foot",72,75,"Ring finger",March,Summer,Yes,No,Other,Water,"Physical education",11,14,4,"Yes - broadband connection","In person",0,0,4,0,1,24,10,14,14,0,20,3,0,0,"A lot","Graduate degree",Country,Fly,Healthy,Relative,Environment
USA,NY,2020,"11        ",Female,17,Right-Handed,152,23,152,1,Car,8,.338,40,Baseball/Softball,800,800,800,800,800,800,20,"Right foot",50,56,"Ring finger",February,Fall,Yes,Yes,Pizza/Pasta,Water,English,8,6,2,"Yes - broadband connection","Text messaging",100,100,16,8,12,1,12,.5,0,8,20,24,0,8,"Very little","Graduate degree","Rhythm and blues (R&B)",Invisibility,Happy,"Musician or singer",Environment
USA,NY,2023,"12        ",Male,17,Ambidextrous,176,28,183,2,Car,8,.025,33,Golf,890,690,250,450,1000,910,26,"Right foot",100,110,"Ring finger",July,Fall,Yes,No,Meat,Water,History,6,7,5,"Yes - broadband connection","In person",6,9,5,2,4,3,10,0,6,1,8,1,12,3,"A lot","Graduate degree",Country,Telepathy,Healthy,Relative,Religious
USA,NY,2016,"12        ",Male,17,Right-Handed,177,26,176,5,"Rail (Train/Tram/Subway)",25,0.791,36,Cycling,760,800,400,800,200,200,26,"Same length",80,85,"Ring finger",May,Fall,No,Yes,Pizza/Pasta,Water,Languages,7,9,3,"Yes - broadband connection","Text messaging",90,90,10,0,20,3,0,0,40,110,50,15,0,2,Some,"Undergraduate degree",Jazz,Invisibility,Happy,"Musician or singer",Health
USA,NY,2015,"12        ",Male,17,Right-Handed,169,25,177,2,"Rail (Train/Tram/Subway)",40,.623,38,"Football (American)",1000,800,800,700,400,700,26,"Left foot",90,88,"Index finger",November,Summer,No,No,Fruit,Milk,History,8,10,4,"Yes - broadband connection","In person",10,30,15,1,8,10,15,6,10,1,5,4,8,8,Some,"Graduate degree","Punk rock","Freeze time",Happy,Other,"Education/Youth development"
USA,NY,2017,"6         ",Female,11,Right-Handed,154.5,24,152,1,Bus,20,0.516,49,Soccer,950,850,500,700,25,600,24,"Same length",60,70,"Ring finger",October,Fall,No,No,Desserts,Water,History,9,11,4,"Yes - broadband connection","Text messaging",20,40,9,1.5,15,60,10,.25,0,1.5,6,7,0,.5,"Very little","Graduate degree","Rap/Hip hop",Fly,Happy,Teacher,Environment
USA,NY,2023,"12        ",Female,17,Right-Handed,165,24,159,2,"Rail (Train/Tram/Subway)",30,0.353,35,Bowling,759,492,717,717,615,759,23,"Right foot",65,65,"Same length",April,Spring,No,No,Fruit,Water,Art,7,9,3,"Yes - broadband connection","Text messaging",30,30,5,2,10,1,0,10,10,3,35,0,0,7,"A lot","Graduate degree",Pop,"Freeze time",Rich,"Business person","Wildlife, animals"
USA,NY,2016,"11        ",Female,16,Right-Handed,170,23,172,1,Car,10,,,Soccer,800,900,700,700,800,800,23,"Same length",78,79,"Ring finger",November,Spring,No,No,Pizza/Pasta,Coffee,"Physical education",6,10,3,"Yes - other","Text messaging",16,67,4,0,7,4,12,0,3,1,2,4,0,4,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Health
USA,NY,2019,"12        ",Female,17,Right-Handed,154.9,22.86,157.4,1,Car,7,0.384,46,Gymnastics,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2021,"12        ",Female,17,Left-Handed,177,23,120,1,Car,30,.378,50,Tennis,900,800,800,950,900,900,24,"Left foot",67,55,"Index finger",July,Spring,No,No,Desserts,Water,English,6,10,3,"Yes - broadband connection","In person",84,95,12,20,15,5,7,0,1,7,10,0,0,2,"A lot","Graduate degree","Rock and roll",Invisibility,Happy,Friend,Health
