Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2023,"12        ",Female,16,Right-Handed,5´2,23cm,N/A,1,Car,"15 ",0.417,37,Dancing,1000,1000,1000,1000,471,834,23cm,"Same length",,30mm,"Ring finger",May,Winter,Yes,No,"No favorite",Water,Other,7-8,9,4,"Yes - other","In person",7,24,36,2,10,20,10,0,10,8,100,3,0,15,"A lot","Graduate degree",Other,Fly,Rich,"Musician or singer","Arts, culture, sports"
USA,TX,2014,"4         ",Male,9,Right-Handed,143,23,134,2,Car,10,,,Tennis,800,900,700,1000,50,20,22,"Right foot",80,80,"Same length",March,Summer,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",9,10,4,"Yes - other","Cell phone",2,1,1,1,3,5,12,1,1,1,2,2,0,0,Some,Other,"Rap/Hip hop","Super strength",Happy,"Sports person","International aid"
USA,TX,2014,"4         ",Female,10,Right-Handed,150,25,152,2,Bus,,,,Soccer,,,,,,,25,"Same length",10,8,"Index finger",February,Summer,No,No,Pizza/Pasta,Water,"Social studies",7,3,3,"Yes - dial-up connection","Text messaging",2,3,6,2,1,0,5,7,8,3,2,4,5,6,"A lot","Graduate degree","Rhythm and blues (R&B)",Invisibility,,Teacher,"Arts, culture, sports"
USA,TX,2023,"12        ",Female,17,Right-Handed,51,9,155,2,Car,25,0.514,39,Dancing,700,700,700,700,900,1000,9,"Same length",85,90,"Ring finger",September,Fall,No,No,Pizza/Pasta,Water,Languages,7,10,5,"Yes - other","In person",20,20,5,1,7,10,10,2,35,10,35,15,0,5,"A lot","Graduate degree",Pop,Telepathy,Happy,Relative,Health
USA,TX,2012,"12        ",Male,17,Right-Handed,174,25,176,2,Bus,30,0.545,55,Soccer,850,100,300,950,900,900,26,"Left foot",93,87,"Index finger",September,Winter,Yes,No,Meat,"Sports drink","Mathematics and statistics",7,12,4,"Yes - broadband connection","Text messaging",300,320,65,1,5,20,15,5,5,80,5,40,10,10,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,"Arts, culture, sports"
USA,TX,2019,"12        ",Male,17,Right-Handed,190.5,26.16,185.4,one,Car,17,0.498,50,Basketball,663,326,690,834,824,743,27.94,"Left foot",76.2,88.9,"Ring finger",March,Winter,No,No,Meat,Water,History,7.50,9,6,"Yes - broadband connection","Text messaging",55,53,3,,,,,,,,,,,,,,,,,,
USA,TX,2019,"12        ",Female,24,Left-Handed,172,25,166,1,Car,30,0.357,29,Walking/Hiking,1000,1000,1000,1000,400,700,25,"Same length",75,70,"Index finger",March,Fall,No,Yes,Other,Water,Science,8,8,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",3,5,1,8,14,12,0,0,8,1,14,0,10,6,"A lot","Undergraduate degree",Pop,Fly,Happy,Other,"Wildlife, animals"
USA,TX,2023,"12        ",Female,18,Right-Handed,154,6,59,2,Car,8,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2015,"4         ",Female,9,Right-Handed,140,20,139,1,Walk,10,0.909,0.50,Dancing,711,807,904,668,524,743,20,"Same length",71,38,"Index finger",February,Fall,No,No,Seafood,Water,"Physical education",9,11,4,"Yes - other","In person",10,13,15,1,3,10,10,1,3,7,2,7,1,1,"Very little","Graduate degree",Country,Telepathy,Happy,Other,Religious
USA,TX,2024,"12        ",Male,16,Right-Handed,176,27,171,3,Car,7,0.231,45,Soccer,750,700,700,750,350,800,26,"Right foot","73 mm","82 mm","Ring finger",April,Winter,Yes,No,Meat,Water,"Physical education",8,9,5,"Yes - other","Text messaging",18,21,7,4,7,6,16-18,2-3,8,3-4,14,10,14,1-2,"A lot",Other,Classical,"Freeze time",Rich,"Sports person","International aid"
USA,TX,2021,"11        ",Female,16,Left-Handed,5'0,22.5,126.5,2,Car,12,0.728,47,None,1000,100,500,1000,1000,1000,22.5,"Same length",3.6,3.6,"Same length",October,Winter,No,No,Meat,"Soft drink (caffeinated)",History,"8 ",9,5,"Yes - broadband connection","Text messaging",110,100,4,5,0,2,0,7,54,12,11,3,0,24,"A lot","Graduate degree",Pop,"Freeze time",Rich,"Musician or singer","Wildlife, animals"
USA,TX,2023,"12        ",Male,18,Right-Handed,170,26.67,165,2,Bus,25,.343,38,None,471,471,471,471,0,599,26.67,"Same length",63.5,76.2,"Ring finger",April,Fall,No,No,Meat,Water,"Physical education",10,10,5,"Yes - other","Text messaging",25,25,0,0,0,0,0,4,1,1,2,0,0,1,"Very little","Some college",Other,"Freeze time",Rich,Other,Environment
