Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,FL,2013,"12        ",Female,17,Right-Handed,157,23,162,2,Car,15,.706,30,Golf,900,400,800,650,700,900,25,"Left foot",76,72,"Index finger",February,Winter,No,No,Seafood,Water,"Mathematics and statistics",5,10,3,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",60,80,20,1,15,4,6,5,21,21,21,3,0,0,"A lot","Graduate degree",Pop,"Freeze time",Rich,Friend,"International aid"
USA,FL,2011,"12        ",Female,17,Right-Handed,160,23,161,1,Car,25,.341,,None,200,900,450,,1000,1000,23,"Same length",90,90,"Same length",April,Fall,No,No,Breads/Sandwiches,"Soft drink (non-caffeinated)",Art,4,6,3,"Yes - other","Text messaging",125,120,10,14,0,48,0,42,32,126,74,42,0,3,None,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,Relative,Religious
USA,FL,2021,"12        ",Male,18,Right-Handed,171,22.5,177,1,Bus,45,0.377,34,Walking/Hiking,1000,1000,1000,1000,750,750,25.5,"Left foot",70,77.5,"Ring finger",March,Winter,Yes,No,Meat,Water,"Mathematics and statistics",6.5,8,2,"Yes - broadband connection","Internet chat or instant messaging",2,2,8,0,16,0,0,25,4,7,20,8,0,0,Some,"High school","Rock and roll","Freeze time",Happy,Teacher,Health
USA,FL,2017,"12        ",Male,17,Right-Handed,173,25,173,1,Bus,20,0.765,60,None,800,800,900,900,950,900,25,"Same length",76,83,"Ring finger",August,Fall,No,No,Meat,Tea,"Mathematics and statistics",4,12,4,"Yes - broadband connection","Internet chat or instant messaging",40,35,0,0,3,0,0,68,2,30,80,0,0,4,Some,"Undergraduate degree",Techno/Electronic,"Freeze time",Rich,Friend,Health
USA,FL,2021,"12        ",Male,17,Right-Handed,177,30,180,2,Car,24,.38,48,Lacrosse,500,500,100,300,200,1000,32,"Same length",80,90,"Ring finger",May,Winter,No,No,Poultry,Water,"Mathematics and statistics",7,7,3,"Yes - other","Text messaging",5,10,10,0,3,3,5,0,8,4,8,5,0,0,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Rich,Relative,"Education/Youth development"
USA,FL,2014,"12        ",Female,17,Right-Handed,175,24,72,1,Car,30,.372,35,None,690,631,545,891,5,5,24,"Same length",120,80,"Index finger",April,Winter,No,No,Fruit,,Art,8,4,3,"Yes - broadband connection","Text messaging",20,20,20,1,20,2,0,5,2,3,25,0,3,2,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,"Arts, culture, sports"
USA,FL,2022,"11        ",Male,16,Right-Handed,185,28,130,1,Bus,15,.728,62,Basketball,800,1000,1000,1000,700,750,28,"Same length",91.3,73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,FL,2018,"12        ",Female,17,Right-Handed,156,23,156,2,Car,15,0.968,56,None,800,800,900,900,700,700,23,"Same length",80,85,"Ring finger",March,Spring,Yes,Yes,Fruit,Tea,History,6,8,5,"Yes - broadband connection","Text messaging",20,30,6,1,7,8,1,0,4,7,2,3,6,2,"A lot","Graduate degree",Other,Invisibility,Rich,Friend,"International aid"
USA,FL,2016,"7         ",Female,12,Right-Handed,167.6,22.98,152.4,2,Other,20,,,Other,500,500,500,500,100,900,23.11,"Left foot",77.21,52.07,"Index finger",February,Winter,No,No,Poultry,Water,History,7.5,10,5,"Yes - broadband connection","In person",1,48,35,0,2.5,2,26,0,.5,1,4,6,0,1,Some,"Graduate degree",Pop,Telepathy,Healthy,Relative,"International aid"
USA,FL,2019,"12        ",Male,16,Right-Handed,179,58,172,2,Car,38,0.73,42,Tennis,975,963,665,845,150,970,58,"Same length",75,90,"Ring finger",October,Summer,Yes,No,Seafood,Water,"Mathematics and statistics",7,9,5,"Yes - broadband connection","In person",3,6,10,4,13,7,2,0,0,2,14,7,0,0,"A lot","Graduate degree",Classical,Telepathy,Happy,Relative,Health
USA,FL,2019,"11        ",Male,16,Right-Handed,178,26,170,2,Car,15,0.743,74,Baseball/Softball,100,500,500,500,0,1000,25.5,"Right foot",90,85,"Ring finger",January,Winter,No,No,Meat,Water,Science,7,8,4,"Yes - other","Cell phone",68,81,12,4,5,8,20,4,3,13,5,1,0,0,Some,"Graduate degree",Pop,Telepathy,Happy,"Musician or singer",Health
USA,FL,2017,"12        ",Male,17,Right-Handed,182,27,179,1,Car,30,.726,43,Other,8,2,0,4,1000,1000,27,"Same length",105,114,"Ring finger",January,Summer,No,No,Desserts,Juice,"Mathematics and statistics",6,10,5,"Yes - other","Internet chat or instant messaging",14,26,6,0,21,2,0,20,15,0,80,0,0,0,"A lot","Graduate degree",Techno/Electronic,Telepathy,,Relative,"Education/Youth development"
USA,FL,2017,"6         ",Male,11,Right-Handed,143,23,151,1,Car,10,0.582,44,Gymnastics,800,900,700,950,1000,999,23,"Same length",70,75,"Ring finger",June,Summer,No,No,Pizza/Pasta,Water,"Mathematics and statistics",8,10,5,"Yes - broadband connection","In person",5,5,8,0.000,3,68,8,32,0.5,0.000,32,9,0,0.5,Some,"Graduate degree",Techno/Electronic,"Freeze time",Healthy,Relative,Health
USA,FL,2013,"12        ",Male,17,Ambidextrous,178,28,178,1,Bus,70,.362,36,"Martial Arts",631,631,631,631,738,904,27,"Right foot",75,80,"Ring finger",August,Summer,No,No,Meat,Water,"Mathematics and statistics",6,9,4,"Yes - broadband connection","Text messaging",52,61,6,15,7,5,12,4,4,30,10,2,10,5,Some,"Graduate degree","Rock and roll",,Happy,"Coach or club leader",Health
USA,FL,2021,"12        ",Male,17,Right-Handed,176,27,182,1,Car,30,.681,46,Baseball/Softball,0,0,0,0,1000,1000,27,"Same length",8,7,"Index finger",May,Winter,Yes,No,Meat,Water,History,3,8,4,"Yes - broadband connection","Text messaging",3,6,12,2,0,0,30,12,14,0,0,0,0,0,None,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,"Business person",Health
USA,FL,2018,"12        ",Male,17,Right-Handed,189,29,183,1,Car,25,.309,39,Other,950,900,975,925,925,925,29,"Same length",90,97,"Ring finger",March,Fall,Yes,No,Other,Water,Geography,7,8,3,"Yes - broadband connection","Text messaging",5,4,5,0,5,2,10,30,10,2,45,1,0,1,Some,"Graduate degree",Pop,Fly,Happy,Other,"Wildlife, animals"
USA,FL,2021,"12        ",Male,17,Right-Handed,5'9,"30 cm",83,1,Car,25,.367,46,Baseball/Softball,400,400,400,400,400,1000,"30 cm","Same length","80 ",90,"Ring finger",January,Fall,Yes,No,Poultry,Water,Geography,9,10,4,"Yes - broadband connection","Cell phone",10,10,6,4,10,30,10,0,9,1,10,10,3,5,"A lot","Graduate degree",Reggae,"Freeze time",Rich,Relative,Health
USA,FL,2015,"7         ",Female,12,Right-Handed,160,85,152,1,Car,5,0.609,58,Lacrosse,600,600,600,500,700,800,90,"Left foot",250,300,"Ring finger",January,Winter,Yes,No,Soups,Water,English,4,13,6,"Yes - other","Internet chat or instant messaging",0,0,36,0,3,0,8,2,5,4,3,2,0,1,Some,"Some college","Rap/Hip hop",Fly,Famous,Relative,"Education/Youth development"
USA,FL,2011,"12        ",Male,17,Right-Handed,177,26,181,4,Car,40,.28,99,Swimming,600,500,900,,1000,1000,27,"Left foot",68,77,"Ring finger",July,Summer,No,No,Meat,Water,Science,6,7,5,"Yes - broadband connection","Cell phone",50,60,50,40,40,20,40,10,35,15,30,0,0,0,"A lot","Graduate degree",Techno/Electronic,Invisibility,Healthy,Relative,Health
USA,FL,2022,"12        ",Female,17,Right-Handed,162,23.5,162,1,Car,45,0.933,40,Dancing,10,10,10,10,50,1000,23.5,"Same length",76.2,76.2,"Same length",January,Fall,No,No,"No favorite",Water,English,6,10,3,"Yes - broadband connection","Text messaging",7,100,10,3,2,11,3,0,3,12,12,6,0,0,"Very little","Undergraduate degree",Country,Invisibility,Happy,"Doctor or nurse",Health
USA,FL,2015,"7         ",Male,12,Right-Handed,155,90,152,1,Car,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,FL,2021,"12        ",Male,17,Left-Handed,176,25.5,156,2,Car,18,0.388,28,Dancing,1000,830,920,750,690,750,26,"Right foot",8.5,9.75,"Same length",January,Fall,Yes,Yes,Desserts,Water,Other,7,10,6,"Yes - broadband connection","In person",15,36,15,0,25,3,0,3,50,7,98,15,0,3,"A lot","Graduate degree","Rap/Hip hop","Super strength",Rich,"Musician or singer",Other
