Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2015,"7         ",Male,13,Right-Handed,174,31,164,1,Car,35,.35,48,"Football (American)",797,733,818,647,198,198,31,"Same length",7.1,8.3,"Ring finger",March,Summer,Yes,No,Meat,Milk,"Mathematics and statistics",7,9,3,"No internet connection","Internet chat or instant messaging",1,0,30,1,4,4,2,21,1,2,25,0,1,0,"Very little","Undergraduate degree","Rock and roll",Fly,Healthy,Relative,Health
USA,CA,2021,"12        ",Male,17,Right-Handed,176,28,172.7,2,Car,25,0.324,64,Soccer,900,700,500,100,500,800,28.5,"Left foot",10.2,10.4,,February,Winter,Yes,No,Poultry,Water,History,6,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,60,15,15,5,10,2,15,10,8,10,10,0,5,Some,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,Actor,Health
USA,CA,2015,"6         ",Female,10,Right-Handed,149,21,131,2,Car,4,15,7,Dancing,1000,1000,1000,1000,100,400,21,"Same length",52,61,"Ring finger",October,Winter,No,No,Meat,"Powdered drink",Art,8,9,5,"Yes - broadband connection","In person",12,15,7,0,1,0,1,0,30,5,1,1,0,10,Some,"High school","Rap/Hip hop","Freeze time",Happy,Relative,"International aid"
USA,CA,2021,"11        ",Male,17,Right-Handed,170,26,65,2,Car,"5-10 ",0.366,"49 ",Soccer,800,800,800,800,500,800,26,"Same length",7cm,7,"Same length",May,Winter,No,No,Poultry,Water,Other,8,8,13,"Yes - broadband connection","Text messaging",200,200,12,1,5,4,21,0,21,30,5,4,0,0,Some,"Some college","Rap/Hip hop",Telepathy,Rich,Relative,Health
USA,CA,2013,"12        ",Male,16,Right-Handed,174,25.4,152.4,2,Bus,30,.721,60,Soccer,1000,1000,1000,1000,1000,1000,24.13,"Same length",81.28,81.28,"Same length",August,Winter,No,No,Meat,Water,English,4,9,5,"Yes - broadband connection","In person",2,5,63,2,40,20,20,1,50,5,70,2,1,5,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Rich,"Musician or singer","Arts, culture, sports"
USA,CA,2021,"12        ",Male,17,Right-Handed,175,29,175,1,Car,25,0.396,56,Skateboarding/Rollerblading,770,904,465,626,481,471,29,"Same length",8,9,"Ring finger",November,Winter,No,No,Fruit,Tea,Science,5,7,4,"Yes - broadband connection","Cell phone",4,2,8,0,24,7,7,5,12,4,12,4,0,14,Some,"Some college","Rap/Hip hop",Telepathy,Happy,Other,Health
USA,CA,2021,"11        ",Female,18,Right-Handed,150,20,135,2,Car,5,2.645,53,Gymnastics,1000,963,1000,1000,1000,818,21,"Left foot",9,7.5,"Index finger",October,Fall,No,No,Desserts,Juice,"Social studies",8,12,4,"Yes - broadband connection",,50,50,6,1000,80,50,80,20,1000,1000,1000,40,1000,60,Some,"Graduate degree",Reggae,"Super strength",Healthy,"Doctor or nurse","International aid"
USA,CA,2015,"6         ",Female,11,Right-Handed,163,28,163,1,Car,6,.5011,41,Lacrosse,700,100,100,500,20,50,28,"Same length",70,75,"Index finger",June,Spring,No,No,"Rice/Noodle dishes",Water,Music,7,10,5,"Yes - broadband connection","In person",0,5,8,0,5,4,6,2,1,0,3,0,0,6,Some,"Graduate degree",Other,Invisibility,Happy,"Coach or club leader",Other
USA,CA,2019,"11        ",Male,17,Right-Handed,170,24,175,2,Bus,60,0.317,43,Bowling,1000,1000,1000,1000,504,574,24,"Same length",80,90,"Ring finger",November,Winter,Yes,No,Pizza/Pasta,Water,"Computers and technology",9,9,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,1,5,5,3,2,5,5,4,5,3,0,7,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Healthy,Other,Health
USA,CA,2022,"12        ",Male,18,Right-Handed,188,26,182,2,Car,6,0.28,46,Skateboarding/Rollerblading,588,722,300,743,1000,1000,26,"Same length",90,90,"Same length",February,Summer,No,No,Pizza/Pasta,Tea,"Mathematics and statistics",6,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,20,8,0,4,10,2,0,10,7,12,0,14,5,"A lot","Graduate degree",Gospel,Telepathy,Rich,Friend,"Education/Youth development"
