Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
CA,Female,Right-Handed,Other,1000,August,Soft drink (non-caffeinated),Other,5,9,4,Graduate degree
CA,Male,Right-Handed,Soccer,0,November,Water,Mathematics and statistics,9,12,7,Graduate degree
CA,Male,Right-Handed,Football (American),4,February,Water,Other,5,0,3,Graduate degree
CA,Female,Right-Handed,Basketball,500,October,Water,Science,11,0,1,Graduate degree
CA,Male,Right-Handed,Soccer,1000,October,Water,History,7,0,24,Graduate degree
CA,Female,Right-Handed,Other,1000,March,Tea,English,10,0,0,Graduate degree
CA,Female,Left-Handed,Running/Jogging,500,November,Water,Mathematics and statistics,7,35,4,Undergraduate degree
CA,Male,Right-Handed,Soccer,500,August,Water,Physical education,8,0,1,Some college
CA,Female,Right-Handed,Gymnastics,50,November,Juice,Art,10,20,30,Some college
CA,Female,Right-Handed,Walking/Hiking,935,May,Tea,History,7,0,3,Graduate degree
CA,Female,Right-Handed,Swimming,921,July,Water,Computers and technology,9,0,0,Undergraduate degree
CA,Male,Left-Handed,Soccer,824,January,Water,English,11,0,2,Other
CA,Male,Right-Handed,Soccer,802,April,Water,Physical education,6,0,2,Graduate degree
CA,Female,Right-Handed,Running/Jogging,497,September,Water,English,5,0,2,Less than high school
CA,Female,Right-Handed,Dancing,556,December,Water,Science,10,1,1,Graduate degree
CA,Female,Right-Handed,Soccer,613,May,Water,Mathematics and statistics,8,0,3,Graduate degree
CA,Male,Right-Handed,Cycling,877,September,Tea,Languages,8,0,1,Undergraduate degree
CA,Male,Right-Handed,Soccer,500,February,Water,English,12,2,1,Undergraduate degree
CA,Male,Right-Handed,Football (American),500,April,Water,History,10,4,1,Graduate degree
CA,Female,Right-Handed,Swimming,500,February,Coffee,Mathematics and statistics,7,0,2,Graduate degree
CA,Male,Right-Handed,Swimming,1000,May,Sports drink,Physical education,10,0,2,Some college
CA,Male,Right-Handed,Soccer,800,December,Soft drink (non-caffeinated),Other,11,0,1,Graduate degree
CA,Male,Right-Handed,Cycling,600,June,Sports drink,Music,9,8,0,Graduate degree
CA,Female,Right-Handed,Soccer,1000,May,Water,Art,5,0,5,Graduate degree
CA,Female,Right-Handed,Walking/Hiking,1000,November,Water,Mathematics and statistics,10,0,7,Graduate degree
CA,Male,Right-Handed,Other,1000,May,Water,Other,10,0,0,Graduate degree
CA,Female,Right-Handed,Gymnastics,700,July,Juice,Science,8,8,2,Graduate degree
CA,Female,Right-Handed,Running/Jogging,100,May,Water,Science,9,0,1,High school
CA,Male,Right-Handed,Basketball,900,December,Water,Science,9,0,6,Graduate degree
CA,Female,Right-Handed,Other,500,July,Water,Science,8,0,2,Graduate degree
CA,Male,Right-Handed,Football (American),679,March,Water,Physical education,6,0,3,Other
CA,Male,Right-Handed,Walking/Hiking,1000,February,Water,Social studies,6,0,9,Graduate degree
CA,Female,Right-Handed,Walking/Hiking,1000,February,Water,Science,9,0,5,Graduate degree
CA,Female,Right-Handed,Golf,2,February,Water,Mathematics and statistics,9,0,0,Undergraduate degree
CA,Male,Right-Handed,Table Tennis,700,December,Water,Mathematics and statistics,3,10,10,Some college
CA,Female,Right-Handed,Dancing,647,December,Water,Music,9,30,4,Graduate degree
CA,Female,Right-Handed,Basketball,1000,February,Water,Art,7,11,1,Graduate degree
CA,Male,Right-Handed,Other,1000,July,Water,Art,7,0,6,Some college
CA,Male,Right-Handed,Running/Jogging,1000,December,Tea,Other,8,0,10,Some college
CA,Female,Right-Handed,Other,800,August,Water,Computers and technology,7,0,0,Undergraduate degree
CA,Male,Right-Handed,Walking/Hiking,650,April,Water,English,10,0,0,Undergraduate degree
CA,Male,Right-Handed,Other,1000,April,Water,Computers and technology,10,0,6,Graduate degree
CA,Female,Left-Handed,Other,300,July,Coffee,Music,3,0,4,High school
CA,Female,Right-Handed,Swimming,1000,June,Water,Science,5,40,14,Graduate degree
CA,Male,Right-Handed,Baseball/Softball,1000,September,Water,History,11,0,0,Graduate degree
CA,Male,Right-Handed,Basketball,317,December,Tea,Mathematics and statistics,11,0,7,Graduate degree
CA,Female,Right-Handed,Martial Arts,807,November,Water,Art,12,0,1,Graduate degree
CA,Female,Right-Handed,Swimming,86,September,Other,Art,7,42,5,Other
CA,Female,Right-Handed,Other,1000,August,Water,Art,8,4,3,Undergraduate degree
CA,Male,Right-Handed,Basketball,899,June,Water,Computers and technology,10,0,2,Graduate degree
CA,Female,Right-Handed,Running/Jogging,800,January,Water,Social studies,8,0,5,Graduate degree
CA,Female,Right-Handed,Dancing,80,January,Soft drink (caffeinated),History,10,0,3,Graduate degree
CA,Male,Left-Handed,Baseball/Softball,1000,March,Water,Mathematics and statistics,8,0,1,Graduate degree
CA,Male,Right-Handed,Soccer,904,June,Water,Social studies,9,15,1,Undergraduate degree
CA,Female,Right-Handed,Skateboarding/Rollerblading,600,November,Water,Art,10,0,0,Graduate degree
CA,Male,Right-Handed,Table Tennis,750,March,Water,Computers and technology,8,0,1,Graduate degree
CA,Male,Right-Handed,Basketball,1000,March,Water,Science,8,0,6,Graduate degree
CA,Female,Right-Handed,Running/Jogging,439,November,Water,Art,11,0,49,Graduate degree
CA,Male,Right-Handed,Cycling,850,October,Soft drink (caffeinated),Mathematics and statistics,10,0,3,Some college
CA,Male,Right-Handed,Walking/Hiking,1000,November,Water,Mathematics and statistics,9,10,0,Graduate degree
CA,Female,Right-Handed,Baseball/Softball,603,January,Water,History,9,20,5,Other
CA,Female,Right-Handed,Basketball,1000,April,Soft drink (caffeinated),Art,9,0,10,Graduate degree
CA,Female,Right-Handed,Running/Jogging,500,September,Water,English,8,0,7,Undergraduate degree
CA,Male,Right-Handed,Soccer,820,January,Water,History,8,0,4,Graduate degree
