Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
CA,Female,Left-Handed,Swimming,925,February,Water,Art,10,0,3,Some college
CA,Male,Right-Handed,Martial Arts,770,September,Water,Other,9,0,3,Graduate degree
CA,Female,Right-Handed,Other,600,July,Juice,Languages,7,0,2,Graduate degree
CA,Female,Right-Handed,Athletics,610,November,Water,Music,8,0,8,Graduate degree
CA,Male,Right-Handed,Athletics,1000,March,Water,Physical education,8,4,0,Graduate degree
CA,Female,Right-Handed,Walking/Hiking,500,April,Water,Languages,8,0,2,Graduate degree
CA,Male,Right-Handed,Other,690,July,Water,Art,10,0,30,Undergraduate degree
CA,Female,Left-Handed,Martial Arts,800,April,Coffee,Art,10,0,5,Graduate degree
CA,Male,Right-Handed,Soccer,1000,July,Water,Music,1,0,2,Graduate degree
CA,Male,Left-Handed,Dancing,950,September,Water,English,9,5,1,Undergraduate degree
CA,Female,Right-Handed,Golf,701,February,Soft drink (caffeinated),English,4,0,4,Other
CA,Female,Right-Handed,Running/Jogging,690,October,Water,Mathematics and statistics,10,0,6,Undergraduate degree
CA,Female,Right-Handed,Other,70,April,Sports drink,Other,9,0,0,Undergraduate degree
CA,Female,Right-Handed,Basketball,636,September,Water,Languages,5,18,1,Graduate degree
CA,Male,Right-Handed,Running/Jogging,832,February,Water,Computers and technology,6,16,10,Undergraduate degree
CA,Female,Right-Handed,Walking/Hiking,1000,January,Water,Science,10,0,3,Graduate degree
CA,Female,Right-Handed,Basketball,925,March,Water,Mathematics and statistics,10,0,10,Graduate degree
CA,Male,Right-Handed,Basketball,700,August,Water,History,12,5,1,Graduate degree
CA,Male,Right-Handed,Swimming,2,February,Water,Science,11,0,2,Graduate degree
CA,Female,Right-Handed,Baseball/Softball,750,June,Water,Social studies,10,18,3,Graduate degree
CA,Female,Right-Handed,Other,900,February,Water,Art,10,0,5,Undergraduate degree
CA,Male,Left-Handed,Table Tennis,551,November,Soft drink (non-caffeinated),Other,10,6,3,Graduate degree
CA,Female,Right-Handed,Lacrosse,900,November,Juice,Languages,9,0,4,Graduate degree
CA,Male,Right-Handed,Basketball,198,May,Water,Science,8,0,3,Graduate degree
CA,Male,Right-Handed,Golf,700,June,Water,Social studies,9,0,0,Graduate degree
CA,Male,Right-Handed,Basketball,930,November,Water,Mathematics and statistics,6,20,1,Graduate degree
CA,Female,Left-Handed,Other,733,June,Water,Art,8,0,12,Undergraduate degree
CA,Female,Right-Handed,Skateboarding/Rollerblading,700,May,Coffee,History,10,40,2,Graduate degree
CA,Male,Right-Handed,Soccer,900,September,Water,English,10,6,4,Graduate degree
CA,Female,Right-Handed,Dancing,999,October,Water,Languages,9,0,1,Graduate degree
CA,Male,Right-Handed,Baseball/Softball,650,November,Sports drink,Science,8,0,1,Graduate degree
CA,Male,Right-Handed,Bowling,900,May,Milk,Science,10,0,2,Graduate degree
CA,Female,Right-Handed,Baseball/Softball,800,March,Water,Art,9,0,8,Graduate degree
CA,Female,Right-Handed,Dancing,800,March,Water,English,10,0,0,Graduate degree
CA,Male,Right-Handed,Table Tennis,800,May,Water,Mathematics and statistics,7,0,0,Graduate degree
CA,Male,Right-Handed,Basketball,650,January,Water,Physical education,10,0,0,Other
CA,Male,Right-Handed,Tennis,600,April,Water,Computers and technology,9,10,3,Graduate degree
CA,Male,Right-Handed,Tennis,90,July,Water,Computers and technology,9,0,0,Graduate degree
CA,Female,Right-Handed,Walking/Hiking,750,March,Water,Music,9,0,3,Graduate degree
CA,Female,Right-Handed,Soccer,925,December,Water,Mathematics and statistics,8,12,2,Graduate degree
CA,Female,Left-Handed,Soccer,300,November,Water,Other,10,0,2,Graduate degree
CA,Female,Right-Handed,Dancing,1000,June,Water,Other,8,0,5,Graduate degree
CA,Male,Right-Handed,Swimming,1000,May,Water,Mathematics and statistics,11,0,1,Graduate degree
CA,Female,Right-Handed,Running/Jogging,850,September,Water,English,10,0,3,Graduate degree
CA,Female,Right-Handed,Football (American),0,May,Energy drink,Science,5,3,1,Graduate degree
CA,Female,Right-Handed,Running/Jogging,1000,September,Water,Art,8,0,2,Graduate degree
CA,Male,Right-Handed,Cycling,1000,December,Water,Music,8,0,3,Graduate degree
CA,Female,Right-Handed,Basketball,800,March,Water,English,10,16,11,Graduate degree
CA,Male,Right-Handed,Martial Arts,700,December,Water,Mathematics and statistics,8,0,5,Graduate degree
CA,Female,Right-Handed,Swimming,615,February,Water,Mathematics and statistics,9,12,1,Other
CA,Female,Right-Handed,Other,900,January,Other,Science,9,45,15,Graduate degree
CA,Male,Ambidextrous,Football (American),1000,December,Water,Art,4,1,2,Graduate degree
CA,Female,Right-Handed,Other,1000,December,Water,Music,7,0,7,Graduate degree
CA,Female,Right-Handed,Soccer,1000,May,Water,Other,11,0,21,Graduate degree
CA,Male,Right-Handed,Football (American),781,November,Juice,Physical education,3,0,2,Graduate degree
CA,Female,Right-Handed,Other,1000,April,Water,Mathematics and statistics,8,15,1,Graduate degree
CA,Male,Right-Handed,Basketball,465,June,Water,Physical education,9,0,4,Some college
CA,Female,Right-Handed,Dancing,1000,December,Water,Languages,9,0,0,Other
CA,Female,Right-Handed,Swimming,471,June,Water,English,8,0,0,Graduate degree
CA,Female,Right-Handed,Swimming,887,September,Soft drink (caffeinated),Science,9,0,2,Some college
CA,Female,Right-Handed,Other,68,December,Milk,Mathematics and statistics,4,0,3,Graduate degree
FL,Male,Right-Handed,Athletics,743,August,Water,Science,8,0,1,Graduate degree
FL,Male,Right-Handed,Lacrosse,200,May,Water,English,12,3,0,Undergraduate degree
FL,Male,Right-Handed,Basketball,200,February,Water,Music,10,0,2,Graduate degree
FL,Male,Left-Handed,Other,5,September,Water,Other,7,5,5,Undergraduate degree
FL,Male,Right-Handed,Other,850,April,Water,Science,8,2,0,Graduate degree
FL,Female,Right-Handed,Basketball,476,December,Water,Art,9,0,1,Graduate degree
FL,Female,Right-Handed,Swimming,0,February,Water,History,9,0,0,Undergraduate degree
FL,Male,Right-Handed,Football (American),900,June,Soft drink (caffeinated),Mathematics and statistics,13,0,12,Graduate degree
FL,Male,Right-Handed,Basketball,965,July,Water,History,10,0,7,Other
FL,Female,Right-Handed,Baseball/Softball,321,March,Water,Mathematics and statistics,10,8,0,Some college
FL,Female,Right-Handed,Other,650,January,Water,Languages,12,0,2,Graduate degree
FL,Female,Right-Handed,Golf,900,February,Water,Mathematics and statistics,10,0,0,Graduate degree
FL,Male,Right-Handed,Walking/Hiking,1000,March,Water,Mathematics and statistics,8,0,0,High school
FL,Male,Right-Handed,Lacrosse,500,May,Water,Mathematics and statistics,7,0,0,Graduate degree
FL,Female,Right-Handed,Other,500,February,Water,History,10,0,1,Graduate degree
FL,Male,Right-Handed,Tennis,975,October,Water,Mathematics and statistics,9,0,0,Graduate degree
FL,Male,Right-Handed,Baseball/Softball,100,January,Water,Science,8,0,0,Graduate degree
FL,Male,Right-Handed,Other,8,January,Juice,Mathematics and statistics,10,0,0,Graduate degree
FL,Male,Right-Handed,Gymnastics,800,June,Water,Mathematics and statistics,10,0,0,Graduate degree
FL,Male,Ambidextrous,Martial Arts,631,August,Water,Mathematics and statistics,9,10,5,Graduate degree
FL,Male,Right-Handed,Baseball/Softball,0,May,Water,History,8,0,0,Graduate degree
FL,Male,Right-Handed,Other,950,March,Water,Geography,8,0,1,Graduate degree
FL,Male,Right-Handed,Baseball/Softball,400,January,Water,Geography,10,3,5,Graduate degree
FL,Female,Right-Handed,Lacrosse,600,January,Water,English,13,0,1,Some college
FL,Male,Right-Handed,Swimming,600,July,Water,Science,7,0,0,Graduate degree
FL,Female,Right-Handed,Dancing,10,January,Water,English,10,0,0,Undergraduate degree
FL,Male,Left-Handed,Dancing,1000,January,Water,Other,10,0,3,Graduate degree
FL,Male,Right-Handed,Walking/Hiking,536,November,Water,Other,9,0,5,Other
FL,Male,Right-Handed,Baseball/Softball,50,March,Water,Physical education,8,15,3,Other
FL,Male,Right-Handed,Football (American),500,January,Water,History,10,0,0,Graduate degree
FL,Female,Right-Handed,Martial Arts,998,September,Water,History,11,0,4,Some college
FL,Female,Right-Handed,Running/Jogging,1000,July,Water,History,10,2,10,Graduate degree
FL,Male,Right-Handed,Basketball,500,April,Water,Physical education,10,0,1,Graduate degree
FL,Male,Right-Handed,Rowing,750,July,Water,Mathematics and statistics,9,0,2,Graduate degree
FL,Male,Right-Handed,Basketball,1,October,Juice,Languages,8,10,1,Less than high school
FL,Male,Right-Handed,Rowing,0,August,Coffee,Physical education,15,0,0,High school
FL,Male,Right-Handed,Tennis,250,October,Water,Mathematics and statistics,10,0,1,Graduate degree
FL,Male,Right-Handed,Basketball,200,June,Soft drink (caffeinated),Mathematics and statistics,11,0,0,Graduate degree
FL,Male,Ambidextrous,Football (American),500,July,Water,Social studies,9,0,1,Graduate degree
FL,Female,Right-Handed,Gymnastics,6,April,Water,History,6,25,2,Other
FL,Male,Right-Handed,Other,200,November,Water,Computers and technology,9,0,10,Graduate degree
FL,Male,Right-Handed,Tennis,500,September,Water,Science,9,0,1,Undergraduate degree
FL,Male,Right-Handed,Football (American),800,April,Tea,History,10,0,0,Graduate degree
FL,Female,Right-Handed,Tennis,520,February,Other,Languages,9,0,1,Graduate degree
FL,Female,Right-Handed,Tennis,900,October,Water,History,10,0,2,Graduate degree
FL,Female,Right-Handed,Other,500,July,Water,History,9,0,3,Graduate degree
FL,Female,Right-Handed,Walking/Hiking,1000,March,Water,Mathematics and statistics,10,0,3,Graduate degree
FL,Male,Right-Handed,Football (American),0,October,Sports drink,English,10,10,1,Undergraduate degree
FL,Female,Right-Handed,Other,1000,October,Water,Mathematics and statistics,7,30,3,Graduate degree
FL,Male,Right-Handed,Football (American),508,October,Water,Physical education,8,14,2,High school
FL,Female,Right-Handed,Other,500,May,Water,English,6,0,1,Graduate degree
FL,Male,Right-Handed,Athletics,465,August,Water,Mathematics and statistics,8,0,2,Graduate degree
FL,Male,Right-Handed,Basketball,600,December,Water,Other,9,0,1,Graduate degree
FL,Female,Right-Handed,Other,200,April,Water,English,10,2,10,Some college
FL,Male,Right-Handed,Basketball,1000,February,Water,History,7,12,5,Graduate degree
FL,Male,Right-Handed,Tennis,1000,March,Water,History,9,20,10,Graduate degree
FL,Male,Right-Handed,Bowling,700,January,Juice,Science,10,0,2,Other
FL,Female,Right-Handed,Other,900,July,Water,Science,9,0,10,Graduate degree
FL,Male,Right-Handed,Basketball,524,December,Soft drink (caffeinated),Mathematics and statistics,5,0,5,Graduate degree
FL,Female,Ambidextrous,Lacrosse,700,June,Milk,Science,8,12,2,Other
FL,Female,Right-Handed,Table Tennis,850,December,Coffee,Art,9,20,0,Undergraduate degree
FL,Male,Right-Handed,Baseball/Softball,802,December,Water,History,12,0,2,Graduate degree
FL,Female,Right-Handed,Other,1000,October,Water,Music,10,5,3,Graduate degree
FL,Male,Right-Handed,Running/Jogging,500,December,Water,Physical education,8,20,5,Graduate degree
FL,Male,Right-Handed,Soccer,600,March,Water,Physical education,8,0,5,Graduate degree
FL,Female,Right-Handed,Soccer,1000,May,Water,Physical education,8,15,8,Graduate degree
FL,Female,Right-Handed,Gymnastics,10,May,Water,English,6,1,1,Graduate degree
FL,Male,Right-Handed,Other,1000,March,Water,History,10,0,1,Graduate degree
FL,Male,Right-Handed,Tennis,700,December,Water,Computers and technology,8,0,9,Undergraduate degree
FL,Female,Right-Handed,Soccer,1000,December,Water,History,12,8,0,Graduate degree
FL,Male,Right-Handed,Basketball,500,June,Water,History,12,0,1,Graduate degree
FL,Male,Right-Handed,Soccer,800,March,Water,History,10,0,2,Graduate degree
FL,Male,Right-Handed,Lacrosse,749,April,Water,Science,9,0,0,Graduate degree
FL,Female,Left-Handed,Basketball,1000,November,Water,Physical education,9,0,4,Graduate degree
FL,Male,Left-Handed,Other,850,April,Water,Science,8,0,1,Undergraduate degree
FL,Male,Right-Handed,Lacrosse,200,May,Water,English,12,3,0,Undergraduate degree
FL,Female,Right-Handed,Swimming,500,December,Water,Other,10,25,4,Other
FL,Female,Right-Handed,Athletics,600,December,Water,Mathematics and statistics,7,0,4,Graduate degree
FL,Male,Right-Handed,Basketball,1000,February,Water,Mathematics and statistics,6,25,3,Graduate degree
FL,Female,Right-Handed,Athletics,957,April,Water,Social studies,9,0,0,Graduate degree
FL,Male,Right-Handed,Football (American),400,June,Soft drink (caffeinated),History,9,0,0,Graduate degree
FL,Female,Right-Handed,Dancing,775,August,Other,History,10,0,0,Graduate degree
FL,Male,Right-Handed,Football (American),1000,January,Soft drink (caffeinated),Mathematics and statistics,6,0,5,Graduate degree
FL,Male,Right-Handed,Basketball,600,September,Water,Geography,9,0,2,Other
FL,Male,Right-Handed,Soccer,900,June,Sports drink,Physical education,9,0,1,Graduate degree
FL,Male,Right-Handed,Martial Arts,500,June,Water,Music,6,56,10,Graduate degree
FL,Female,Right-Handed,Soccer,572,August,Water,Mathematics and statistics,10,0,0,Graduate degree
FL,Male,Right-Handed,Soccer,800,September,Juice,History,10,0,0,Undergraduate degree
FL,Male,Right-Handed,Other,1000,May,Juice,Mathematics and statistics,9,1,1,Graduate degree
FL,Male,Right-Handed,Football (American),0,November,Water,Mathematics and statistics,7,0,2,Undergraduate degree
FL,Male,Right-Handed,Lacrosse,717,April,Water,Physical education,10,0,0,Graduate degree
FL,Female,Right-Handed,Lacrosse,100,June,Soft drink (caffeinated),Other,13,6,12,Graduate degree
FL,Male,Right-Handed,Soccer,78,July,Water,Mathematics and statistics,10,40,2,Graduate degree
FL,Male,Right-Handed,Baseball/Softball,400,June,Soft drink (caffeinated),Science,8,0,2,Graduate degree
FL,Male,Right-Handed,Soccer,904,April,Juice,Mathematics and statistics,11,0,12,Graduate degree
FL,Male,Right-Handed,Walking/Hiking,23,March,Soft drink (caffeinated),Music,6,0,3,Other
FL,Female,Ambidextrous,Dancing,875,January,Soft drink (caffeinated),Music,4,0,36,Graduate degree
FL,Male,Right-Handed,Soccer,500,May,Water,Mathematics and statistics,10,0,2,Graduate degree
FL,Male,Right-Handed,Football (American),750,January,Water,Physical education,5,40,5,Other
FL,Male,Right-Handed,Other,1000,April,Water,History,11,6,2,Graduate degree
FL,Male,Right-Handed,Soccer,500,January,Soft drink (caffeinated),Mathematics and statistics,6,0,0,Graduate degree
FL,Male,Left-Handed,Table Tennis,850,May,Tea,History,9,12,1,Graduate degree
FL,Female,Right-Handed,Basketball,578,February,Water,Mathematics and statistics,9,20,15,Some college
FL,Male,Right-Handed,Table Tennis,604,February,Water,Mathematics and statistics,9,0,2,Undergraduate degree
FL,Female,Right-Handed,Hockey (Field),100,October,Water,Art,11,0,0,Graduate degree
FL,Male,Left-Handed,Walking/Hiking,600,November,Water,History,5,51,10,Graduate degree
FL,Female,Right-Handed,Other,722,June,Water,Art,9,25,1,Graduate degree
FL,Female,Right-Handed,Football (American),125,December,Water,English,10,25,3,Some college
FL,Male,Right-Handed,Soccer,300,March,Water,Mathematics and statistics,10,0,1,Graduate degree
FL,Male,Right-Handed,Baseball/Softball,0,June,Water,Computers and technology,10,0,1,Graduate degree
FL,Female,Ambidextrous,Other,800,June,Water,Science,10,3,4,Graduate degree
FL,Male,Right-Handed,Baseball/Softball,863,June,Water,Physical education,12,0,0,Graduate degree
FL,Female,Left-Handed,Baseball/Softball,900,November,Water,History,11,0,1,Graduate degree
FL,Male,Right-Handed,Soccer,86,December,Water,Physical education,9,0,2,Graduate degree
FL,Female,Ambidextrous,Basketball,1000,April,Water,English,8,40,3,Other
FL,Female,Right-Handed,Dancing,998,March,Coffee,Social studies,6,10,1,Graduate degree
FL,Female,Right-Handed,Other,481,December,Water,Physical education,9,0,5,Other
FL,Female,Right-Handed,Hockey (Ice),3,March,Soft drink (caffeinated),Computers and technology,4,0,1,Graduate degree
FL,Male,Right-Handed,Basketball,500,September,Water,Other,9,0,0,Graduate degree
FL,Male,Right-Handed,Baseball/Softball,1000,September,Milk,Mathematics and statistics,9,0,3,Graduate degree
FL,Male,Right-Handed,Baseball/Softball,500,April,Water,History,12,0,4,Undergraduate degree
FL,Male,Right-Handed,Baseball/Softball,800,May,Water,History,9,0,4,Undergraduate degree
FL,Male,Right-Handed,Lacrosse,700,June,Soft drink (caffeinated),History,8,0,1,Graduate degree
FL,Female,Right-Handed,Baseball/Softball,1000,July,Coffee,English,7,0,2,Graduate degree
FL,Male,Right-Handed,Tennis,500,December,Water,Other,7,0,0,Undergraduate degree
FL,Male,Right-Handed,Martial Arts,1000,April,Water,Social studies,9,25,2,Graduate degree
FL,Male,Ambidextrous,Basketball,910,April,Water,Mathematics and statistics,15,0,3,Graduate degree
FL,Female,Left-Handed,Other,100,January,Tea,Art,11,0,5,Graduate degree
FL,Male,Right-Handed,Basketball,0,January,Soft drink (caffeinated),Other,4,0,0,Less than high school
FL,Female,Left-Handed,Soccer,100,June,Tea,History,10,0,1,Graduate degree
FL,Female,Right-Handed,Other,283,January,Water,History,9,0,3,Graduate degree
FL,Male,Right-Handed,Baseball/Softball,0,February,Water,English,5,0,3,Graduate degree
FL,Female,Right-Handed,Dancing,380,October,Water,Mathematics and statistics,8,0,2,Graduate degree
FL,Female,Left-Handed,Athletics,893,June,Water,Computers and technology,9,0,3,Graduate degree
FL,Female,Left-Handed,Baseball/Softball,200,June,Milk,Art,8,6,2,Undergraduate degree
FL,Female,Right-Handed,Lacrosse,900,November,Tea,History,12,0,4,Graduate degree
FL,Male,Left-Handed,Football (American),100,May,Sports drink,Other,7,40,0,Graduate degree
FL,Male,Right-Handed,Swimming,700,July,Water,Music,8,0,6,Some college
FL,Male,Right-Handed,Lacrosse,500,August,Tea,History,11,0,0,Undergraduate degree
FL,Male,Right-Handed,Other,1000,August,Water,Science,8,0,3,Graduate degree
FL,Female,Right-Handed,Other,805,April,Water,Science,6,0,1,Graduate degree
FL,Female,Right-Handed,Dancing,879,August,Water,Art,9,0,2,Graduate degree
FL,Male,Left-Handed,Football (American),600,September,Soft drink (caffeinated),Music,10,15,4,Graduate degree
FL,Male,Right-Handed,Lacrosse,456,June,Water,Mathematics and statistics,11,0,0,Graduate degree
FL,Male,Right-Handed,Lacrosse,500,September,Water,Mathematics and statistics,8,5,10,Graduate degree
FL,Male,Right-Handed,Basketball,0,January,Water,Social studies,10,4,7,Graduate degree
FL,Male,Right-Handed,Soccer,300,October,Water,Mathematics and statistics,10,0,3,Graduate degree
FL,Female,Right-Handed,Other,695,December,Water,History,9,12,4,Graduate degree
FL,Male,Right-Handed,Tennis,950,July,Water,Physical education,9,0,2,Graduate degree
FL,Female,Right-Handed,Walking/Hiking,400,November,Water,Art,12,0,1,Graduate degree
FL,Female,Right-Handed,Dancing,840,August,Water,Science,8,0,4,Graduate degree
FL,Male,Left-Handed,Athletics,1000,January,Water,History,8,0,3,Other
FL,Female,Right-Handed,Dancing,1000,June,Water,Science,12,0,0,Graduate degree
FL,Female,Left-Handed,Soccer,524,July,Other,Physical education,11,0,7,Graduate degree
FL,Female,Right-Handed,Gymnastics,700,February,Water,Other,10,0,7,Graduate degree
FL,Male,Right-Handed,Baseball/Softball,500,October,Soft drink (non-caffeinated),History,8,2,1,Graduate degree
FL,Male,Right-Handed,Soccer,800,December,Juice,Science,9,0,0,Graduate degree
FL,Male,Right-Handed,Basketball,1000,September,Water,Social studies,10,20,30,Some college
FL,Female,Right-Handed,Other,200,February,Coffee,Science,8,20,20,Graduate degree
FL,Male,Right-Handed,Soccer,1000,September,Water,History,6,10,10,Some college
FL,Female,Right-Handed,Soccer,733,July,Water,History,9,15,4,Graduate degree
FL,Female,Right-Handed,Athletics,936,December,Water,Science,10,0,4,Graduate degree
FL,Female,Right-Handed,Golf,1000,August,Water,Languages,7,0,1,Undergraduate degree
FL,Male,Right-Handed,Swimming,700,May,Tea,Geography,12,0,4,Graduate degree
FL,Female,Right-Handed,Swimming,898,February,Water,History,9,0,2,Graduate degree
FL,Male,Left-Handed,Football (American),1000,December,Soft drink (caffeinated),Mathematics and statistics,2,16,2,Some college
FL,Female,Right-Handed,Soccer,733,December,Water,Music,5,0,4,Graduate degree
FL,Male,Right-Handed,Other,535,August,Juice,Science,7,6,4,Graduate degree
FL,Female,Right-Handed,Running/Jogging,840,February,Tea,Mathematics and statistics,10,0,3,Undergraduate degree
FL,Male,Right-Handed,Baseball/Softball,5,April,Sports drink,Mathematics and statistics,10,0,1,Some college
FL,Female,Right-Handed,Other,743,August,Water,Art,9,12,10,Graduate degree
FL,Male,Right-Handed,Other,551,February,Water,Other,9,5,2,Other
FL,Male,Left-Handed,Tennis,800,March,Sports drink,Mathematics and statistics,8,0,2,Undergraduate degree
FL,Female,Right-Handed,Dancing,900,September,Water,Social studies,9,0,4,Graduate degree
FL,Female,Ambidextrous,Dancing,1000,January,Water,Languages,13,0,1,Graduate degree
FL,Female,Right-Handed,Swimming,1000,October,Water,Social studies,12,4,24,Undergraduate degree
FL,Male,Right-Handed,Other,600,December,Water,Computers and technology,9,0,3,Graduate degree
FL,Male,Right-Handed,Football (American),668,December,Water,Physical education,9,0,0,Graduate degree
FL,Male,Right-Handed,Other,1000,March,Water,Other,6,24,2,Some college
FL,Female,Right-Handed,Other,800,December,Water,Science,9,0,5,Undergraduate degree
FL,Male,Ambidextrous,Football (American),50,June,Water,English,10,0,2,Graduate degree
FL,Female,Right-Handed,Football (American),1000,May,Powdered drink,Physical education,10,0,0,Graduate degree
FL,Male,Right-Handed,Lacrosse,1000,March,Water,History,5,0,4,Undergraduate degree
FL,Female,Right-Handed,Dancing,444,March,Coffee,Science,3,5,2,Graduate degree
FL,Male,Right-Handed,Golf,600,March,Water,Computers and technology,12,0,2,Graduate degree
FL,Male,Right-Handed,Lacrosse,85,March,Sports drink,Science,10,0,0,Undergraduate degree
FL,Male,Right-Handed,Table Tennis,500,December,Water,Music,8,0,0,Graduate degree
FL,Male,Right-Handed,Athletics,900,June,Water,Physical education,6,0,2,Graduate degree
FL,Female,Right-Handed,Baseball/Softball,250,October,Soft drink (caffeinated),English,7,6,3,Graduate degree
FL,Female,Ambidextrous,Soccer,759,May,Juice,History,11,0,2,Graduate degree
FL,Male,Right-Handed,Baseball/Softball,900,April,Milk,Science,10,0,3,Graduate degree
FL,Female,Left-Handed,Swimming,900,November,Juice,English,10,0,3,Graduate degree
FL,Female,Right-Handed,Cycling,500,May,Water,Other,8,7,0,Graduate degree
FL,Male,Right-Handed,Skateboarding/Rollerblading,6,June,Soft drink (non-caffeinated),Music,10,0,7,Graduate degree
FL,Female,Right-Handed,Walking/Hiking,750,April,Tea,History,7,0,2,Graduate degree
FL,Male,Left-Handed,Tennis,532,October,Water,Music,12,0,2,Other
FL,Female,Right-Handed,Other,1000,October,Water,Art,8,15,2,Graduate degree
FL,Female,Left-Handed,Other,500,May,Water,Physical education,14,10,2,Undergraduate degree
FL,Female,Right-Handed,Soccer,500,June,Water,Physical education,7,14,1,Graduate degree
FL,Female,Right-Handed,Lacrosse,1000,April,Water,Art,5,2,1,Graduate degree
FL,Female,Left-Handed,Gymnastics,904,November,Water,Mathematics and statistics,9,0,5,Undergraduate degree
FL,Male,Right-Handed,Soccer,550,November,Sports drink,History,9,18,1,Undergraduate degree
FL,Female,Right-Handed,Skateboarding/Rollerblading,1000,August,Tea,Art,5,0,0,Graduate degree
FL,Male,Right-Handed,Other,1000,April,Water,Science,10,0,4,Graduate degree
FL,Male,Left-Handed,Bowling,1000,January,Soft drink (caffeinated),Science,10,0,1,Graduate degree
FL,Male,Right-Handed,Athletics,1000,August,Water,Other,10,0,4,Graduate degree
FL,Female,Right-Handed,Soccer,950,July,Tea,Science,4,5,20,Other
FL,Female,Right-Handed,Gymnastics,1000,March,Water,Other,10,0,6,Graduate degree
FL,Male,Right-Handed,Soccer,900,July,Water,Mathematics and statistics,8,0,3,Graduate degree
FL,Male,Ambidextrous,Basketball,802,July,Soft drink (non-caffeinated),Art,9,3,3,Graduate degree
FL,Female,Right-Handed,Lacrosse,1000,May,Juice,History,10,5,2,Graduate degree
FL,Male,Right-Handed,Football (American),800,June,Water,History,7,0,0,Graduate degree
FL,Female,Right-Handed,Running/Jogging,1000,September,Water,Mathematics and statistics,8,0,1,Graduate degree
FL,Female,Right-Handed,Other,150,April,Water,Science,10,6,2,Graduate degree
FL,Male,Ambidextrous,Baseball/Softball,50,February,Water,Mathematics and statistics,10,0,2,Undergraduate degree
FL,Male,Right-Handed,Soccer,300,January,Juice,History,10,0,2,Graduate degree
FL,Male,Right-Handed,Soccer,860,December,Milk,Mathematics and statistics,13,0,0,Graduate degree
FL,Male,Right-Handed,Football (American),0,February,Juice,English,7,8,8,Some college
FL,Female,Right-Handed,Soccer,50,April,Soft drink (caffeinated),Mathematics and statistics,12,20,5,Graduate degree
FL,Female,Right-Handed,Athletics,893,September,Coffee,Science,10,0,0,Graduate degree
FL,Female,Right-Handed,Dancing,396,September,Water,English,10,5,7,Graduate degree
FL,Male,Right-Handed,Basketball,1,August,Water,Physical education,12,0,2,Graduate degree
FL,Male,Right-Handed,Skateboarding/Rollerblading,1000,October,Soft drink (caffeinated),Science,10,0,1,Graduate degree
FL,Male,Right-Handed,Other,700,April,Water,Art,7,0,0,Graduate degree
FL,Male,Right-Handed,Football (American),0,May,Water,History,10,10,3,Graduate degree
FL,Female,Right-Handed,Dancing,300,May,Water,English,10,0,1,Other
FL,Male,Right-Handed,Other,50,November,Tea,Music,7,18,6,Graduate degree
FL,Female,Right-Handed,Gymnastics,1000,March,Water,History,8,1,1,Graduate degree
FL,Female,Right-Handed,Other,1000,March,Water,Mathematics and statistics,9,20,3,Graduate degree
FL,Male,Left-Handed,Basketball,487,July,Soft drink (non-caffeinated),Physical education,7,30,5,Less than high school
FL,Male,Right-Handed,Athletics,150,April,Tea,Art,10,0,2,Graduate degree
FL,Female,Right-Handed,Other,600,March,Water,Science,12,0,2,Graduate degree
FL,Female,Right-Handed,Other,128,March,Juice,Mathematics and statistics,8,8,3,High school
FL,Male,Right-Handed,Rowing,900,July,Water,Science,11,0,3,Graduate degree
FL,Male,Right-Handed,Basketball,1,April,Water,Physical education,10,16,0,Undergraduate degree
FL,Male,Right-Handed,Baseball/Softball,500,September,Powdered drink,Mathematics and statistics,8,0,5,Graduate degree
FL,Male,Right-Handed,Golf,500,February,Water,English,10,0,1,Some college
FL,Male,Right-Handed,Other,850,May,Water,Music,9,0,1,Undergraduate degree
FL,Male,Right-Handed,Basketball,300,May,Milk,History,10,0,1,Graduate degree
FL,Male,Right-Handed,Soccer,850,August,Tea,Mathematics and statistics,9,20,1,Graduate degree
FL,Male,Right-Handed,Baseball/Softball,400,July,Water,Mathematics and statistics,7,0,4,Graduate degree
FL,Female,Right-Handed,Cycling,947,January,Water,English,5,0,2,Graduate degree
FL,Male,Right-Handed,Football (American),500,November,Water,Mathematics and statistics,8,0,0,Graduate degree
FL,Male,Right-Handed,Soccer,674,February,Water,Mathematics and statistics,10,0,5,Graduate degree
FL,Male,Right-Handed,Swimming,700,May,Water,Science,12,0,2,Graduate degree
FL,Male,Right-Handed,Other,481,November,Water,Physical education,11,16,1,Graduate degree
FL,Male,Right-Handed,Football (American),822,August,Water,Physical education,9,0,1,Undergraduate degree
FL,Male,Right-Handed,Walking/Hiking,950,May,Water,Social studies,8,12,8,Graduate degree
FL,Female,Right-Handed,Lacrosse,631,June,Water,Science,8,0,2,Graduate degree
FL,Male,Right-Handed,Basketball,800,February,Water,Mathematics and statistics,8,0,5,Graduate degree
FL,Female,Right-Handed,Soccer,400,November,Water,Social studies,10,0,5,Graduate degree
FL,Male,Right-Handed,Basketball,500,July,Water,Physical education,9,0,0,Undergraduate degree
